R;G;B
0,996078431;0,207843137;0
0,584313725;0,780392157;0
0,050980392;0,835294118;0,180392157
0,133333333;0,4;0,992156863
0,803921569;0,050980392;0,996078431
0,945098039;0,623529412;0,71372549
0;0,77254902;0,815686275
1;0;0,631372549
0,976470588;0,639215686;0
0,447058824;0,376470588;0,654901961
0,4;0,462745098;0,337254902
0,996078431;0,443137255;0,905882353
0,768627451;0,239215686;0,250980392
0;0,68627451;0,984313725
0,28627451;0,803921569;0,580392157
0,807843137;0,709803922;0,360784314
0,654901961;0,37254902;0,180392157
0,745098039;0,196078431;0,48627451
0,823529412;0,525490196;0,996078431
0,988235294;0,462745098;0
1;0;0,964705882
0,231372549;0,501960784;0
