R;G;B
1;0;0
0,607843137;0,780392157;0
0,050980392;0,82745098;0,08627451
0;0,384313725;1
0,8;0;0,988235294
0,980392157;0,592156863;0,690196078
0,164705882;0,792156863;0,843137255
0,956862745;0,658823529;0
0,521568627;0,388235294;0,678431373
0,42745098;0,443137255;0,317647059
0,929411765;0,180392157;0,447058824
1;0,439215686;0
0,180392157;0,725490196;0,498039216
0,133333333;0,694117647;1
0,980392157;0,509803922;0,97254902
0,68627451;0,309803922;0,08627451
0,701960784;0,717647059;0,8
0,796078431;0,721568627;0,364705882
0,68627451;0,494117647;0,996078431
0,768627451;0,164705882;0,51372549
0,592156863;0,37254902;0,501960784
0,164705882;0,447058824;0,592156863
0,741176471;0,537254902;0,431372549
