;R;G;B;brightness;class
SC_1;0,980392157;0,133333333;0,050980392;0,4956568;Red
SC_2;0,564705882;0,792156863;0,050980392;0,715265049;Green
SC_3;0;0,831372549;0,196078431;0,709265964;Green
SC_4;0,08627451;0,388235294;1;0,886450911;Blue
SC_5;0,792156863;0;0,984313725;0,900035832;Purple
SC_7;0;0,784313725;0,839215686;0,950454918;Blue
SC_9;0,996078431;0,607843137;0;0,702886956;Yellow
SC_10;0,501960784;0,388235294;0,68627451;0,696409576;Purple
SC_11;0,423529412;0,48627451;0,337254902;0,532666019;Green
SC_12;0,803921569;0,133333333;0,360784314;0,506492792;Red
SC_13;0,741176471;0,623529412;0,08627451;0,636959461;Yellow
SC_14;0,992156863;0,529411765;0,980392157;1,041258953;Purple
SC_15;0,133333333;0,678431373;0,988235294;0,99295733;Blue
SC_16;0,133333333;0,807843137;0,596078431;0,834383707;Green
SC_18;0,635294118;0,352941176;0,149019608;0,44533075;Red
SC_19;0,745098039;0,219607843;0,556862745;0,614767142;Purple
SC_20;0,878431373;0,317647059;0;0,505555541;Yellow
SC_21;0,670588235;0,466666667;0,984313725;0,957849467;Purple
SC_22;0,97254902;0;0,929411765;0,902960946;Purple
SC_23;0,109803922;0,501960784;0;0,420429908;Green
SC_25;0;0,450980392;0,603921569;0,623173286;Blue
