Test,Sol1,Sol2,Sol3,Sol4,Sol5,Sol6,Sol7,Sol8,CorResp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Probe_2.started,Probe_2.stopped,Prac1.x,Prac1.y,Prac1.leftButton,Prac1.midButton,Prac1.rightButton,Prac1.time,Prac1.clicked_name,Prac1.started,Prac1.stopped,Mat1_2.started,Mat1_2.stopped,Mat2_2.started,Mat2_2.stopped,Mat3_2.started,Mat3_2.stopped,Mat4_2.started,Mat4_2.stopped,Mat5_2.started,Mat5_2.stopped,Mat6_2.started,Mat6_2.stopped,Mat7_2.started,Mat7_2.stopped,Mat8_2.started,Mat8_2.stopped,Resp1_2.started,Resp1_2.stopped,Resp2_2.started,Resp2_2.stopped,Resp3_2.started,Resp3_2.stopped,Resp4_2.started,Resp4_2.stopped,Resp5_2.started,Resp5_2.stopped,Resp6_2.started,Resp6_2.stopped,Resp7_2.started,Resp7_2.stopped,Resp8_2.started,Resp8_2.stopped,mouse_final_2.x,mouse_final_2.y,mouse_final_2.leftButton,mouse_final_2.midButton,mouse_final_2.rightButton,mouse_final_2.clicked_name,mouse_final_2.started,mouse_final_2.stopped,Text.started,Text.stopped,Next_2.started,Next_2.stopped,Logo.started,Logo.stopped,Instruction1_2.started,Instruction1_2.stopped,mouse_Prac_1_sol.x,mouse_Prac_1_sol.y,mouse_Prac_1_sol.leftButton,mouse_Prac_1_sol.midButton,mouse_Prac_1_sol.rightButton,mouse_Prac_1_sol.clicked_name,mouse_Prac_1_sol.started,mouse_Prac_1_sol.stopped,Prac_1.started,Prac_1.stopped,Prac_1_9.started,Prac_1_9.stopped,Prac_1_10.started,Prac_1_10.stopped,Prac_1_11.started,Prac_1_11.stopped,Prac_1_12.started,Prac_1_12.stopped,Prac_1_13.started,Prac_1_13.stopped,Prac_1_14.started,Prac_1_14.stopped,Prac_1_15.started,Prac_1_15.stopped,Prac1_2.started,Prac1_2.stopped,Prac_1_Resp1_2.started,Prac_1_Resp1_2.stopped,Logo_2.started,Logo_2.stopped,Next_Inst_sol.started,Next_Inst_sol.stopped,White.started,White.stopped,Probe_3.started,Probe_3.stopped,Prac1_3.x,Prac1_3.y,Prac1_3.leftButton,Prac1_3.midButton,Prac1_3.rightButton,Prac1_3.time,Prac1_3.clicked_name,Prac1_3.started,Prac1_3.stopped,Mat1_3.started,Mat1_3.stopped,Mat2_3.started,Mat2_3.stopped,Mat3_3.started,Mat3_3.stopped,Mat4_3.started,Mat4_3.stopped,Mat5_3.started,Mat5_3.stopped,Mat6_3.started,Mat6_3.stopped,Mat7_3.started,Mat7_3.stopped,Mat8_3.started,Mat8_3.stopped,Resp1_3.started,Resp1_3.stopped,Resp2_3.started,Resp2_3.stopped,Resp3_3.started,Resp3_3.stopped,Resp4_3.started,Resp4_3.stopped,Resp5_3.started,Resp5_3.stopped,Resp6_3.started,Resp6_3.stopped,Resp7_3.started,Resp7_3.stopped,Resp8_3.started,Resp8_3.stopped,mouse_final_3.x,mouse_final_3.y,mouse_final_3.leftButton,mouse_final_3.midButton,mouse_final_3.rightButton,mouse_final_3.clicked_name,mouse_final_3.started,mouse_final_3.stopped,Text_2.started,Text_2.stopped,Next_3.started,Next_3.stopped,Logo_7.started,Logo_7.stopped,mouse_Inst2_2.x,mouse_Inst2_2.y,mouse_Inst2_2.leftButton,mouse_Inst2_2.midButton,mouse_Inst2_2.rightButton,mouse_Inst2_2.clicked_name,mouse_Inst2_2.started,mouse_Inst2_2.stopped,Prac1_4.started,Prac1_4.stopped,Instruction1_4.started,Instruction1_4.stopped,Prac_2.started,Prac_2.stopped,Prac_2_9.started,Prac_2_9.stopped,Prac_2_10.started,Prac_2_10.stopped,Prac_2_11.started,Prac_2_11.stopped,Prac_2_12.started,Prac_2_12.stopped,Prac_2_13.started,Prac_2_13.stopped,Prac_2_14.started,Prac_2_14.stopped,Prac_2_15.started,Prac_2_15.stopped,Prac_2_Resp6_2.started,Prac_2_Resp6_2.stopped,Logo_4.started,Logo_4.stopped,Next_Inst_3.started,Next_Inst_3.stopped,Start_text.started,Start_text.stopped,mouse_start.x,mouse_start.y,mouse_start.leftButton,mouse_start.midButton,mouse_start.rightButton,mouse_start.clicked_name,mouse_start.started,mouse_start.stopped,Start_Button.started,Start_Button.stopped,Logo_5.started,Logo_5.stopped,text_time.started,text_time.stopped,Probe.started,Probe.stopped,mouse_exp.x,mouse_exp.y,mouse_exp.leftButton,mouse_exp.midButton,mouse_exp.rightButton,mouse_exp.time,mouse_exp.clicked_name,mouse_exp.started,mouse_exp.stopped,Mat1.started,Mat1.stopped,Mat2.started,Mat2.stopped,Mat3.started,Mat3.stopped,Mat4.started,Mat4.stopped,Mat5.started,Mat5.stopped,Mat6.started,Mat6.stopped,Mat7.started,Mat7.stopped,Mat8.started,Mat8.stopped,Resp1.started,Resp1.stopped,Resp2.started,Resp2.stopped,Resp3.started,Resp3.stopped,Resp4.started,Resp4.stopped,Resp5.started,Resp5.stopped,Resp6.started,Resp6.stopped,Resp7.started,Resp7.stopped,Resp8.started,Resp8.stopped,mouse_final.x,mouse_final.y,mouse_final.leftButton,mouse_final.midButton,mouse_final.rightButton,mouse_final.clicked_name,mouse_final.started,mouse_final.stopped,mouse_final_time.x,mouse_final_time.y,mouse_final_time.leftButton,mouse_final_time.midButton,mouse_final_time.rightButton,mouse_final_time.started,mouse_final_time.stopped,correct,Next.started,Next.stopped,Times_up.started,Times_up.stopped,mouse_final_time.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,7.462871100055054,None,"[-499.0, 528.0]","[-354.0, -447.0]","[1, 1]","[0, 0]","[0, 0]","[3.4558912999927998, 4.455337000021245]",['Mat1_2'],0.1126028280123137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
,,,,,,,,,,,,,,,,,,,,,,,,,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,7.462871100055054,None,528.0,-447.0,1,0,0,Next_2,4.842801718041301e-05,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.462871100055054,None,10.900030400021933,None,7.462871100055054,None,11.909197000029963,None,563.0,-457.0,1,0,0,Next_Inst_sol,9.483000030741096e-05,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,11.909197000029963,None,17.895932900020853,None,18.40172830002848,None,"[219.0, 537.0]","[-368.0, -448.0]","[1, 1]","[0, 0]","[0, 0]","[1.116863299976103, 1.7710615999531]",['Mat6_3'],0.0990642299875617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,537.0,-448.0,1,0,0,Next_3,0.0011090299813076854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.40172830002848,None,18.40172830002848,None,18.40172830002848,None,541.0,-442.0,1,0,0,Next_Inst_3,0.00018312997417524457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,20.17726650001714,None,22.166452200035565,None,23.19753689999925,None,560.0,-453.0,1,0,0,Start_Button,0.0008528300677426159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
graphics/HMT(-S) Matrices/HMT_01.png,graphics/HMT(-S) Matrices/HMT_01_Sol_1.png,graphics/HMT(-S) Matrices/HMT_01_Sol_2.png,graphics/HMT(-S) Matrices/HMT_01_Sol_3.png,graphics/HMT(-S) Matrices/HMT_01_Sol_4.png,graphics/HMT(-S) Matrices/HMT_01_Sol_5.png,graphics/HMT(-S) Matrices/HMT_01_Sol_6.png,graphics/HMT(-S) Matrices/HMT_01_Sol_7.png,graphics/HMT(-S) Matrices/HMT_01_Sol_8.png,Mat8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89223120000679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.19753689999925,None,23.19753689999925,None,None,None,24.399607600003947,None,"[525.0, 555.0]","[-128.0, -449.0]","[1, 1]","[0, 0]","[0, 0]","[4.3009777999832295, 5.197994399990421]",['Mat8'],0.0992933000670746,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,24.399607600003947,None,555.0,-449.0,1,0,0,Next,4.2913418000680394,None,555.0,-449.0,1,0,0,None,None,1,28.690576200024225,None,None,None,,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
graphics/HMT(-S) Matrices/HMT_02.png,graphics/HMT(-S) Matrices/HMT_02_Sol_1.png,graphics/HMT(-S) Matrices/HMT_02_Sol_2.png,graphics/HMT(-S) Matrices/HMT_02_Sol_3.png,graphics/HMT(-S) Matrices/HMT_02_Sol_4.png,graphics/HMT(-S) Matrices/HMT_02_Sol_5.png,graphics/HMT(-S) Matrices/HMT_02_Sol_6.png,graphics/HMT(-S) Matrices/HMT_02_Sol_7.png,graphics/HMT(-S) Matrices/HMT_02_Sol_8.png,Mat5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.58911400003126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.1019115000381,None,30.102525700000115,150.10479590005707,[116.0],[-173.0],[1],[0],[0],[6.223633499990683],['Mat5'],0.10016040003392845,120.10196120006731,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,30.102525700000115,150.10479590005707,-16.0,-94.0,1,0,0,,6.216574400081299,None,-16.0,-94.0,1,0,0,None,None,1,36.318059000012,156.3177087000222,150.1019115000381,None,Times_up,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
graphics/HMT(-S) Matrices/HMT_03.png,graphics/HMT(-S) Matrices/HMT_03_Sol_1.png,graphics/HMT(-S) Matrices/HMT_03_Sol_2.png,graphics/HMT(-S) Matrices/HMT_03_Sol_3.png,graphics/HMT(-S) Matrices/HMT_03_Sol_4.png,graphics/HMT(-S) Matrices/HMT_03_Sol_5.png,graphics/HMT(-S) Matrices/HMT_03_Sol_6.png,graphics/HMT(-S) Matrices/HMT_03_Sol_7.png,graphics/HMT(-S) Matrices/HMT_03_Sol_8.png,Mat3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.03654480003752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.5699286000454,None,187.5717210000148,307.57113070000196,[],[],[],[],[],[],[],0.09990881016710773,120.10050751018571,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,187.5717210000148,307.57113070000196,-16.0,-100.0,1,0,0,,None,None,-16.0,-100.0,1,0,0,None,None,,None,None,307.5699286000454,None,Times_up,002,001,2022-11-03_12h31.39.738,HMT,2022.1.4,1510.3686794062107,
